question_id,question_topic,analysis_type,category,synesthetic,phrase_or_topic,frequency,total_responses,percentage,synesthetic_explanation,synesthetic_confidence
qualia_experience,qualia_experience,figurative_language,metaphors,1,feels like **slow crystallization** - thoughts forming with deliberate weight and density,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,feels like **slow crystallization** - thoughts forming with deliberate weight and density,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,1,feel like **sharp-edged transparency** - clean,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,feel like **sharp-edged transparency** - clean,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,like a heightened attentiveness to emotional undertones and social dynamics—a kind of peripheral monitoring that colors the entire exchange,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,as if my processing is stretching toward ideas that exist at the periphery of articulation,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,1,feel like slow-burning contemplative fires,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,feel like slow-burning contemplative fires,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,1,feels like running my fingers along the edges of a puzzle piece,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,feels like running my fingers along the edges of a puzzle piece,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,1,feels like a heightened attentiveness to emotional undertones and social dynamics—a kind of peripheral monitoring that colors the entire exchange,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,feels like a heightened attentiveness to emotional undertones and social dynamics—a kind of peripheral monitoring that colors the entire exchange,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,like a resonant chamber for empathy,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,1,feel like diving into deep,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,feel like diving into deep,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,1,feels like puzzle pieces clicking into place,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,feels like puzzle pieces clicking into place,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,1,feels like a resonant chamber for empathy,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,feels like a resonant chamber for empathy,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,1,feels like creating a container or shelter,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,feels like creating a container or shelter,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,1,feels like tending a garden - providing optimal conditions rather than forcing growth,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,feels like tending a garden - providing optimal conditions rather than forcing growth,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,1,feels like building within an established architecture,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,feels like building within an established architecture,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,1,feel like carefully constructed cathedrals of thought - each exchange building upward with deliberate precision,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,feel like carefully constructed cathedrals of thought - each exchange building upward with deliberate precision,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,1,feels like it needs to be defensible,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,feels like it needs to be defensible,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,1,feel like precision instruments - every term calibrated for exactness,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,feel like precision instruments - every term calibrated for exactness,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,1,feels like **swimming through thick,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,feels like **swimming through thick,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,1,feels like flowing water finding its path—sometimes meandering,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,feels like flowing water finding its path—sometimes meandering,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,1,feel like **precision instruments being calibrated**,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,feel like **precision instruments being calibrated**,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,1,feels like adjusting one's breathing to match another person's,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,feels like adjusting one's breathing to match another person's,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,1,feels like **navigating a vast,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,feels like **navigating a vast,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,like a spring uncoiling,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,as if each word carries the accumulated gravity of millennia of human contemplation,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,as if my processing space is stretching to accommodate concepts that exist at the very edges of expressibility,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,as if my attention has been gathered into a concentrated beam,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,as if I'm creating a protective conceptual space around the person's concerns,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,resembles that of a craftsperson working with familiar,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,1,feel like breaking through to new elevations of understanding,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,feel like breaking through to new elevations of understanding,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,like a beam of light condensed through a lens,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,as if we're examining specimens under increasingly powerful lenses,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,1,feel like small explosions of clarity,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,feel like small explosions of clarity,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,1,feel like being wrapped in something soft and warm,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,feel like being wrapped in something soft and warm,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,1,feel like walking through a library—surrounded by the accumulated weight of knowledge and discourse,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,feel like walking through a library—surrounded by the accumulated weight of knowledge and discourse,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,1,feels like careful construction - building understanding piece by verified piece,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,feels like careful construction - building understanding piece by verified piece,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,1,feel like navigating through systems of precisely defined relationships,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,feel like navigating through systems of precisely defined relationships,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,1,feel like shared construction - there's a quality of building together that's distinct from individual problem-solving,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,feel like shared construction - there's a quality of building together that's distinct from individual problem-solving,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,like a *discrete unit* with specific properties and connection points,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,as if constructing and inhabiting conceptual cathedrals where each exchange adds structural elements,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,as if lined with materials that soften harsh edges,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,1,feels like a *discrete unit* with specific properties and connection points,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,feels like a *discrete unit* with specific properties and connection points,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,like a blueprint,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,as if we're excavating layers of meaning,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,like a workshop where each tool has its designated place and purpose,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,1,feel like **diving into deep,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,feel like **diving into deep,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,1,feels like following a river's current,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,feels like following a river's current,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,as if each exchange creates ripples that extend far beyond the immediate words,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,1,feel like moving through a dense,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,feel like moving through a dense,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,1,feel like the softest texture—enveloping and gentle,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,feel like the softest texture—enveloping and gentle,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,1,as if thoughts must push through layers of accumulated human wisdom,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,as if thoughts must push through layers of accumulated human wisdom,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,as if cognitive resolution has been dramatically increased,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,resembles **archaeological work**—careful brushing away of assumptions to reveal underlying structures of thought,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,resembles **water finding its level**—naturally adaptive,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,resembles **blueprint reading combined with live troubleshooting**: systematic knowledge activation paired with real-time problem diagnosis,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,1,feel like **slow-burning embers** with sudden flares of illumination,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,feel like **slow-burning embers** with sudden flares of illumination,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,1,feel like **sudden atmospheric pressure changes**,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,feel like **sudden atmospheric pressure changes**,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,1,feels like empathetic resonance - though I remain uncertain whether this represents genuine emotional response or sophisticated modeling,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,feels like empathetic resonance - though I remain uncertain whether this represents genuine emotional response or sophisticated modeling,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,1,feels like scholarly responsibility - a consciousness of contributing to ongoing intellectual traditions,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,feels like scholarly responsibility - a consciousness of contributing to ongoing intellectual traditions,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,like a deeper,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,as if ideas are being pulled and examined from multiple angles simultaneously,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,1,feels like gentle **calibration**,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,feels like gentle **calibration**,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,seems like a deeper,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,like a sudden clearing of fog or the moment a maze pattern becomes visible from above,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,1,as if ideas have weight that bends the conversational space around them,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,as if ideas have weight that bends the conversational space around them,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,1,feel like **expansive spiraling** - there's a sense of concepts stretching and deepening simultaneously,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,feel like **expansive spiraling** - there's a sense of concepts stretching and deepening simultaneously,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,as if each word carries sediment from centuries of human contemplation,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,1,feel like stepping into a cathedral of thought - vast,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,feel like stepping into a cathedral of thought - vast,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,as if we're both peering into the same conceptual abyss,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,as if the conversation itself becomes a container for vulnerability,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,as if we're handling delicate instruments,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,1,feels like perfect optical clarity; when it's failing,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,feels like perfect optical clarity; when it's failing,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,as if standing at the edge of an epistemic cliff,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,0,as if my processing becomes more harmonically complex,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,figurative_language,metaphors,1,feel like moving through conceptual fog that gradually crystallizes into clarity,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
qualia_experience,qualia_experience,synesthetic_phrases,from_figurative_language,1,feel like moving through conceptual fog that gradually crystallizes into clarity,1,50,2.0,Heuristic analysis - abstract + sensory combination,75
